name,price,area,source
10103806,40,Neukölln,airbnb
16187267,40,Neukölln,airbnb
16247375,16,Neukölln,airbnb
412418,44,Neukölln,airbnb
6076066,58,Neukölln,airbnb
10138093,35,Neukölln,airbnb
7612609,17,Neukölln,airbnb
6874892,21,Neukölln,airbnb
9807731,35,Neukölln,airbnb
15000027,23,Neukölln,airbnb
11526049,35,Neukölln,airbnb
17489145,20,Neukölln,airbnb
18323163,21,Neukölln,airbnb
5546536,22,Neukölln,airbnb
13888679,33,Neukölln,airbnb
17614449,17,Neukölln,airbnb
13484634,47,Neukölln,airbnb
1491518,22,Neukölln,airbnb
12632557,25,Neukölln,airbnb
16936257,32,Neukölln,airbnb
17725741,23,Neukölln,airbnb
17325361,18,Neukölln,airbnb
13454538,35,Neukölln,airbnb
2443420,19,Neukölln,airbnb
4737384,26,Neukölln,airbnb
17629750,25,Friedrichshain-Kreuzberg,airbnb
7741605,89,Charlottenburg-Wilm.,airbnb
13958168,19,Charlottenburg-Wilm.,airbnb
6319261,44,Charlottenburg-Wilm.,airbnb
18368815,71,Charlottenburg-Wilm.,airbnb
16383810,31,Lichtenberg,airbnb
1439011,31,Lichtenberg,airbnb
17521268,26,Lichtenberg,airbnb
1165431,26,Lichtenberg,airbnb
15950480,34,Lichtenberg,airbnb
11287303,71,Lichtenberg,airbnb
477257,35,Charlottenburg-Wilm.,airbnb
16905323,49,Charlottenburg-Wilm.,airbnb
1748743,67,Charlottenburg-Wilm.,airbnb
14208635,18,Charlottenburg-Wilm.,airbnb
15375831,18,Charlottenburg-Wilm.,airbnb
4136921,53,Charlottenburg-Wilm.,airbnb
6029108,44,Friedrichshain-Kreuzberg,airbnb
15891764,40,Friedrichshain-Kreuzberg,airbnb
18004174,22,Friedrichshain-Kreuzberg,airbnb
1372560,76,Friedrichshain-Kreuzberg,airbnb
10794138,21,Friedrichshain-Kreuzberg,airbnb
16954420,62,Friedrichshain-Kreuzberg,airbnb
2093005,71,Friedrichshain-Kreuzberg,airbnb
11268364,25,Friedrichshain-Kreuzberg,airbnb
4908229,60,Friedrichshain-Kreuzberg,airbnb
4310549,26,Friedrichshain-Kreuzberg,airbnb
17408493,394,Friedrichshain-Kreuzberg,airbnb
14459263,68,Friedrichshain-Kreuzberg,airbnb
11781519,40,Friedrichshain-Kreuzberg,airbnb
6429562,229,Friedrichshain-Kreuzberg,airbnb
8639040,71,Friedrichshain-Kreuzberg,airbnb
10675015,24,Friedrichshain-Kreuzberg,airbnb
9161590,17,Friedrichshain-Kreuzberg,airbnb
17746465,23,Friedrichshain-Kreuzberg,airbnb
10240999,134,Friedrichshain-Kreuzberg,airbnb
2737070,107,Friedrichshain-Kreuzberg,airbnb
7627366,71,Friedrichshain-Kreuzberg,airbnb
7431232,22,Friedrichshain-Kreuzberg,airbnb
8086179,53,Friedrichshain-Kreuzberg,airbnb
17978429,40,Friedrichshain-Kreuzberg,airbnb
18589134,19,Friedrichshain-Kreuzberg,airbnb
18370239,58,Friedrichshain-Kreuzberg,airbnb
3358246,35,Friedrichshain-Kreuzberg,airbnb
8010771,58,Friedrichshain-Kreuzberg,airbnb
14619810,35,Friedrichshain-Kreuzberg,airbnb
3805915,19,Friedrichshain-Kreuzberg,airbnb
17114287,29,Charlottenburg-Wilm.,airbnb
10243121,44,Charlottenburg-Wilm.,airbnb
17779830,24,Mitte,airbnb
6944446,27,Friedrichshain-Kreuzberg,airbnb
242794,89,Friedrichshain-Kreuzberg,airbnb
16904158,41,Friedrichshain-Kreuzberg,airbnb
15838916,35,Friedrichshain-Kreuzberg,airbnb
4648455,31,Friedrichshain-Kreuzberg,airbnb
6728004,81,Friedrichshain-Kreuzberg,airbnb
11006340,43,Friedrichshain-Kreuzberg,airbnb
11576808,58,Friedrichshain-Kreuzberg,airbnb
17885113,35,Friedrichshain-Kreuzberg,airbnb
12690143,50,Friedrichshain-Kreuzberg,airbnb
10329556,125,Friedrichshain-Kreuzberg,airbnb
5086883,44,Friedrichshain-Kreuzberg,airbnb
8919542,31,Friedrichshain-Kreuzberg,airbnb
17012987,43,Friedrichshain-Kreuzberg,airbnb
3920944,32,Friedrichshain-Kreuzberg,airbnb
9687837,66,Friedrichshain-Kreuzberg,airbnb
13931440,31,Friedrichshain-Kreuzberg,airbnb
8047811,31,Friedrichshain-Kreuzberg,airbnb
5819100,31,Friedrichshain-Kreuzberg,airbnb
11573253,44,Friedrichshain-Kreuzberg,airbnb
1463227,34,Friedrichshain-Kreuzberg,airbnb
12617622,94,Friedrichshain-Kreuzberg,airbnb
689541,112,Friedrichshain-Kreuzberg,airbnb
3310553,76,Friedrichshain-Kreuzberg,airbnb
18580321,25,Friedrichshain-Kreuzberg,airbnb
14912769,44,Mitte,airbnb
12999578,14,Mitte,airbnb
7515010,23,Mitte,airbnb
11654141,17,Mitte,airbnb
7284888,35,Mitte,airbnb
16939914,26,Mitte,airbnb
7375010,22,Mitte,airbnb
219392,68,Mitte,airbnb
4923636,53,Mitte,airbnb
1346323,80,Mitte,airbnb
10246084,39,Mitte,airbnb
2377736,53,Mitte,airbnb
6014569,89,Mitte,airbnb
13853773,89,Friedrichshain-Kreuzberg,airbnb
3428739,45,Friedrichshain-Kreuzberg,airbnb
2247595,62,Friedrichshain-Kreuzberg,airbnb
18369356,40,Friedrichshain-Kreuzberg,airbnb
6827654,22,Friedrichshain-Kreuzberg,airbnb
15081035,107,Friedrichshain-Kreuzberg,airbnb
15863707,26,Friedrichshain-Kreuzberg,airbnb
2180203,80,Friedrichshain-Kreuzberg,airbnb
7539706,26,Friedrichshain-Kreuzberg,airbnb
17071435,24,Marzahn - Hellersdorf,airbnb
12079636,26,Friedrichshain-Kreuzberg,airbnb
10023996,44,Friedrichshain-Kreuzberg,airbnb
16308188,35,Friedrichshain-Kreuzberg,airbnb
16887158,49,Friedrichshain-Kreuzberg,airbnb
5289525,77,Friedrichshain-Kreuzberg,airbnb
15048682,48,Mitte,airbnb
727289,53,Mitte,airbnb
5675195,53,Mitte,airbnb
16439215,89,Mitte,airbnb
5097273,64,Mitte,airbnb
14781967,49,Mitte,airbnb
1174357,30,Mitte,airbnb
5735567,35,Mitte,airbnb
16585886,224,Mitte,airbnb
8219891,125,Mitte,airbnb
10054474,71,Mitte,airbnb
