,Hotel,Price €,Street,Area,Zip
0,HotelCity Hotel am Gendarmenmarkt,107,Leipziger Str. 65, Mitte," 10117 Berlin, Germany"
4,Hotelmk hotel berlin,91,Osloer Straße 100, Mitte," 13359 Berlin, Germany"
5,HotelBest Western Hotel am Spittelmarkt,79,Neue Grünstraße 28, Mitte," 10179 Berlin, Germany"
6,HotelHyperion Hotel Berlin,131,Prager Str. 12, Charlottenburg-Wilmersdorf," 10779 Berlin, Germany"
7,HotelMichelberger Hotel,85,Warschauer Str. 39-40, Friedrichshain-Kreuzberg," 10243 Berlin, Germany"
9,HotelNH Berlin Potsdamer Platz,100,Stresemannstr. 47, Friedrichshain-Kreuzberg," 10963 Berlin, Germany"
11,HotelEnergieHotel Berlin City West,59,Wielandstrasse 7/8, Charlottenburg-Wilmersdorf," 10625 Berlin, Germany"
12,HotelNovotel Suites Berlin City Potsdamer Platz,106,Anhalter Str. 2, Friedrichshain-Kreuzberg," 10963 Berlin, Germany"
13,Hotelibis budget Berlin Kurfürstendamm,87,Bayreuther Strasse 41, Tempelhof-Schöneberg," 10787 Berlin, Germany"
14,Hotelibis Hotel Berlin Airport Tegel,62,Alt-Reinickendorf 4-5, Reinickendorf," 13407 Berlin, Germany"
16,HotelGold Hotel,110,Weserstr. 24, Friedrichshain-Kreuzberg," 10247 Berlin, Germany"
19,Hotel25hours Hotel Bikini Berlin,178,Budapester Str. 40, Charlottenburg-Wilmersdorf," 10787 Berlin, Germany"
20,HotelApart Hotel Ferdinand Berlin,65,Ferdinand-Schultze-Str. 92, Lichtenberg," 13055 Berlin, Germany"
21,HotelGrand Hyatt Berlin,169,Marlene-Dietrich-Platz 2, Mitte," 10785 Berlin, Germany"
22,HotelPotsdamer Inn,68,Potsdamerstr.145, Tempelhof-Schöneberg," 10783 Berlin, Germany"
23,HotelH10 Berlin Ku'damm,95,Joachimsthaler Str. 31-32, Charlottenburg-Wilmersdorf," 10719 Berlin, Germany"
25,HotelHotel 38,99,Oranienburger Str. 38, Mitte," 10117 Berlin, Germany"
26,HotelHotel Transit Loft,69,Immanuelkirchstr. 14 A, Prenzlauer Berg," 10405 Berlin, Germany"
27,HotelKu'Damm 101 Hotel,89,Kurfürstendamm 101, Charlottenburg-Wilmersdorf," 10711 Berlin, Germany"
28,HotelNew Berlin,99,Petersburger Str. 24, Friedrichshain-Kreuzberg," 10249 Berlin, Germany"
29,HotelHotel Goldmarie,85,Warschauerstr. 58, Friedrichshain-Kreuzberg," 10243 Berlin, Germany"
30,HotelHotel Klassik Berlin,99,Revaler Straße 6, Friedrichshain-Kreuzberg," 10245 Berlin, Germany"
31,HotelMetropolitan Hotel Berlin,80,Schaperstraße 36, Charlottenburg-Wilmersdorf," 10719 Berlin, Germany"
33,HotelNH Berlin Alexanderplatz,106,Landsberger Allee 26, Friedrichshain-Kreuzberg," 10249 Berlin, Germany"
34,HotelPullman Berlin Schweizerhof,110,Budapester Str. 25, Mitte," 10787 Berlin, Germany"
35,HotelHotel Ludwig van Beethoven,93,Hasenheide 14, Friedrichshain-Kreuzberg," 10967 Berlin, Germany"
36,HotelCentro Hotel Kurfürstendamm,70,Kleiststr. 9-12, Tempelhof-Schöneberg," 10787 Berlin, Germany"
37,HotelNovum Hotel Kronprinz Berlin,73,Kronprinzendamm 1, Charlottenburg-Wilmersdorf," 10711 Berlin, Germany"
38,HotelLindner Hotel AM KU'DAMM Berlin,102,Kurfürstendamm 24, Charlottenburg-Wilmersdorf," 10719 Berlin, Germany"
40,HotelBest Western Hotel City Ost,75,Frankfurter Allee 57-59, Friedrichshain-Kreuzberg," 10247 Berlin, Germany"
41,"HotelHotel Berlin, Berlin",98,Lützowplatz 17, Mitte," 10785 Berlin, Germany"
43,HotelMercure Berlin Wittenbergplatz,90,Wittenbergplatz 3, Tempelhof-Schöneberg," 10789 Berlin, Germany"
44,HotelBerlin Mark Hotel,65,Meinekestr. 18-19, Charlottenburg-Wilmersdorf," 10719 Berlin, Germany"
45,HotelRegent - Berlin,201,Charlottenstrasse 49, Mitte," 10117 Berlin, Germany"
47,HotelB&B Hotel Berlin-Charlottenburg,69,117 Kaiserdamm, Charlottenburg-Wilmersdorf," 14057 Berlin, Germany"
48,HotelINNSiDE by Meliá Berlin Mitte,109,Chausseestr. 33, Mitte," 10115 Berlin, Germany"
49,HotelSteigenberger Hotel Berlin,124,Los-Angeles-Platz 1, Charlottenburg-Wilmersdorf," 10789 Berlin, Germany"
51,HotelHotel Adlon Kempinski Berlin,243,Unter den Linden 77, Mitte," 10117 Berlin, Germany"
53,HotelIntercityHotel Berlin Hauptbahnhof,115,Katharina-Paulus-Str. 5, Mitte," 10557 Berlin, Germany"
54,HotelHotel Bristol Berlin,131,Kurfürstendamm 27, Charlottenburg-Wilmersdorf," 10719 Berlin, Germany"
55,HotelSteigenberger Hotel am Kanzleramt,142,Ella-Trebe-Straße 5, Mitte," 10557 Berlin, Germany"
56,HotelMotel One Berlin-Alexanderplatz,99,11 Grunerstraße, Mitte," 10179 Berlin, Germany"
57,HotelHotel Riu Plaza Berlin,89,Martin-Luther-Strasse 1, Tempelhof-Schöneberg," 10777 Berlin, Germany"
58,HotelPark Inn by Radisson Berlin Alexanderplatz,93,Alexanderplatz 7, Mitte," 10178 Berlin, Germany"
59,HotelLeonardo Royal Hotel Berlin Alexanderplatz,89,Otto-Braun-Str. 90, Friedrichshain-Kreuzberg," 10249 Berlin, Germany"
61,HotelMeliá Berlin,148,Friedrichstr. 103, Mitte," 10117 Berlin, Germany"
63,HotelH+ Hotel Berlin Mitte,120,Chausseestr. 118-120, Mitte," 10115 Berlin, Germany"
64,HotelH4 Hotel Berlin Alexanderplatz,98,Karl-Liebknecht-Strasse 32, Mitte," 10178 Berlin, Germany"
65,HotelMaritim Hotel Berlin,128,Stauffenbergstr. 26, Mitte," 10785 Berlin, Germany"
68,HotelMotel One Berlin-Upper West,99,Kantstraße 163-165, Charlottenburg-Wilmersdorf," 10623 Berlin, Germany"
69,HotelH+ Hotel 4Youth,90,Bernauer Str. 45/46, Mitte," 10435 Berlin, Germany"
72,HotelSO/ Berlin Das Stue,217,Drakestrasse 1, Mitte," 10787 Berlin, Germany"
73,HotelMaritim proArte Hotel Berlin,163,Friedrichstraße 151, Mitte," 10117 Berlin, Germany"
75,HotelPLUS Berlin Hostel und Hotel,63,Warschauer Platz 6, Friedrichshain-Kreuzberg," 10245 Berlin, Germany"
76,HotelARCOTEL Velvet Berlin,90,Oranienburger Str. 52, Mitte," 10117 Berlin, Germany"
77,HotelHilton Berlin,185,Mohrenstr. 30, Mitte," 10117 Berlin, Germany"
78,HotelMercure Hotel MOA Berlin,108,Stephanstr. 41, Mitte," 10559 Berlin, Germany"
79,HotelEurostars Berlin,148,Friedrichstr. 99, Mitte," 10117 Berlin, Germany"
80,HotelMEININGER Hotel Berlin Hauptbahnhof,119,Ella-Trebe-Straße 9, Mitte," 10557 Berlin, Germany"
82,HotelSavoy Berlin,96,Fasanenstr. 9-10, Charlottenburg-Wilmersdorf," 10623 Berlin, Germany"
83,HotelMercure Airport Hotel Berlin Tegel,137,Kurt Schumacher Damm 202, Reinickendorf," 13405 Berlin, Germany"
84,Hotelnhow Berlin,113,Stralauer Allee 3, Friedrichshain-Kreuzberg," 10245 Berlin, Germany"
85,HotelMEININGER Hotel Berlin East Side Gallery,74,Am Postbahnhof 4, Friedrichshain-Kreuzberg," 10243 Berlin, Germany"
86,HotelTitanic Chaussee Berlin,143,Chausseestraße 30, Mitte," 10115 Berlin, Germany"
87,HotelTWO Hotel Berlin by Axel - Adults Only,70,Bundesallee 31a, Charlottenburg-Wilmersdorf," 10717 Berlin, Germany"
89,HotelARCOTEL John F Berlin,123,Werderscher Markt 11, Mitte," 10117 Berlin, Germany"
90,HotelSheraton Berlin Grand Hotel Esplanade,155,Lützowufer 15, Mitte," 10785 Berlin, Germany"
91,HotelHampton by Hilton Berlin City West,108,Uhlandstraße 188-189, Charlottenburg-Wilmersdorf," 10623 Berlin, Germany"
92,Hotelibis Berlin Kurfuerstendamm,78,Bayreuther Strasse 39, Tempelhof-Schöneberg," 10787 Berlin, Germany"
93,HotelSofitel Berlin Kurfürstendamm,170,Augsburger Str. 41, Charlottenburg-Wilmersdorf," 10789 Berlin, Germany"
94,HotelMOXY Berlin Humboldthain Park,78,Hochstrasse 2, Mitte," 13357 Berlin, Germany"
96,HotelLeonardo Hotel Berlin,67,Wilmersdorfer Str. 32 (Entrance at Spielhagen Str.), Charlottenburg-Wilmersdorf," 10585 Berlin, Germany"
97,HotelHoliday Inn Express Berlin City Centre,113,Stresemannstr. 49, Friedrichshain-Kreuzberg," 10963 Berlin, Germany"
98,HotelSir Savigny Hotel,156,Kantstr. 144, Charlottenburg-Wilmersdorf," 10623 Berlin, Germany"
99,HotelSANA Berlin Hotel,95,Nürnberger Straße 33/34, Charlottenburg-Wilmersdorf," 10777 Berlin, Germany"
100,HotelLiving Hotel Großer Kurfürst,95,Neue Rossstr. 11-12, Mitte," 10179 Berlin, Germany"
101,HotelWaldorf Astoria Berlin,224,Hardenbergstr. 28, Charlottenburg-Wilmersdorf," 10623 Berlin, Germany"
104,HotelMercure Hotel Berlin Tempelhof,80,Hermannstr. 214-216, Neukölln," 12049 Berlin, Germany"
105,HotelHotel Gat Point Charlie,85,Mauerstr. 81-82, Mitte," 10117 Berlin, Germany"
106,HotelMotel One Berlin-Bellevue,88,Paulstraße 21, Mitte," 10557 Berlin, Germany"
107,HotelNH Collection Berlin Mitte Friedrichstrasse,174,Friedrichstr. 96, Mitte," 10117 Berlin, Germany"
109,"HotelThe Ritz-Carlton, Berlin",228,Potsdamer Platz 3, Mitte," 10785  Berlin, Germany"
110,HotelRocco Forte Hotel De Rome,326,Behrenstraße 37, Mitte," 10117 Berlin, Germany"
111,HotelMoxy Berlin Ostbahnhof,87,Andreasstrasse 76-78, Friedrichshain-Kreuzberg," 10243 Berlin, Germany"
112,Hotelibis Berlin Messe,72,Messedamm 10, Charlottenburg-Wilmersdorf," 14057 Berlin, Germany"
113,Hotelibis Styles Hotel Berlin Mitte,79,Brunnenstr. 1-2, Mitte," 10119 Berlin, Germany"
114,HotelHoliday Inn Berlin City East Side,109,Wanda-Kallenbach-Strasse, Friedrichshain-Kreuzberg," 10243 Berlin, Germany"
116,HotelEssential by Dorint Berlin-Adlershof,127,Rudower Chaussee 15, Treptow-Köpenick," 12489 Berlin, Germany"
117,Hotelibis Berlin Neukölln,67,Jahnstr. 13, Neukölln," 12347 Berlin, Germany"
118,"HotelHotel am Steinplatz, Autograph Collection",194,Steinplatz 4, Charlottenburg-Wilmersdorf," 10623 Berlin, Germany"
119,HotelInterContinental Berlin,139,Budapester Str. 2, Mitte," 10787 Berlin, Germany"
120,HotelB&B Hotel Berlin Potsdamer Platz,69,Potsdamer Str. 90, Mitte," 10785 Berlin, Germany"
121,HotelSelect Hotel Berlin Ostbahnhof,84,Lange Str. 31, Friedrichshain-Kreuzberg," 10243 Berlin, Germany"
123,HotelGood Morning Berlin City West,66,Kögelstr. 12-13, Reinickendorf," 13403 Berlin, Germany"
124,HotelHotel California Kurfürstendamm 35,76,Kurfürstendamm 35, Charlottenburg-Wilmersdorf," 10719 Berlin, Germany"
125,HotelHotel Bleibtreu Berlin by Golden Tulip,65,Bleibtreustr. 31, Charlottenburg-Wilmersdorf," 10707 Berlin, Germany"
126,Hotelibis Styles Berlin an der Oper,77,Bismarckstr. 100, Charlottenburg-Wilmersdorf," 10625 Berlin, Germany"
127,HotelHotel Domicil Berlin by Golden Tulip,77,Kantstraße 111a, Charlottenburg-Wilmersdorf," 10627 Berlin, Germany"
128,HotelHotel Morgenland,77,Finckensteinallee 23-27, Steglitz-Zehlendorf," 12205 Berlin, Germany"
130,HotelSelect Hotel Berlin The Wall,124,Zimmerstr. 88, Mitte," 10117 Berlin, Germany"
131,HotelAbba Berlin Hotel,80,Lietzenburger Str. 89, Charlottenburg-Wilmersdorf," 10719 Berlin, Germany"
132,HotelNu Hotel Berlin,84,Gubener Straße 46/47, Friedrichshain-Kreuzberg," 10243 Berlin, Germany"
133,HotelHotel Indigo Berlin - East Side Gallery,113,Muhlenstrasse 13-19, Friedrichshain-Kreuzberg," 10243 Berlin, Germany"
135,HotelMotel One Berlin Ku'Damm,99,Kantstr. 7-11a, Charlottenburg-Wilmersdorf," 10623 Berlin, Germany"
136,HotelProvocateur Berlin,94,Brandenburgische Str. 21, Charlottenburg-Wilmersdorf," 10707 Berlin, Germany"
137,HotelKPM Hotel & Residences,134,Englische Str. 6, Charlottenburg-Wilmersdorf," 10587 Berlin, Germany"
138,HotelHoliday Inn Berlin City Center East Prenzlauer Berg,87,Prenzlauer Allee 169, Prenzlauer Berg," 10409 Berlin, Germany"
139,HotelOYO Hotel Bohemia,73,Karl-Marx-Str. 262, Neukölln," 12057 Berlin, Germany"
140,Hotelibis Berlin City West,67,Brandenburgische Str. 11, Charlottenburg-Wilmersdorf," 10713 Berlin, Germany"
141,HotelHotel Vita Berlin-Messe,116,12-14 Heerstraße 4. OG, Charlottenburg-Wilmersdorf," 14052 Berlin, Germany"
142,Hotelibis Berlin City Potsdamer Platz,76,Anhalter Str. 4, Friedrichshain-Kreuzberg," 10963 Berlin, Germany"
144,HotelNH Berlin Kurfürstendamm,90,Grolmanstr. 41-43, Charlottenburg-Wilmersdorf," 10623 Berlin, Germany"
145,HotelBest Western Hotel Berlin Mitte,75,Albrechtstr. 25/Ecke Reinhardtstr., Mitte," 10117 Berlin, Germany"
146,HotelHotel am Borsigturm,125,Am Borsigturm 1, Reinickendorf," 13507 Berlin, Germany"
147,HotelHotel Palace Berlin,149,Budapester Str. 45, Charlottenburg-Wilmersdorf," 10787 Berlin, Germany"
148,HotelThe Student Hotel Berlin,78,Alexanderstraße 40, Mitte," 10179 Berlin, Germany"
149,HotelBest Western Hotel Kantstrasse Berlin,77,Kantstr. 111, Charlottenburg-Wilmersdorf," 10627 Berlin, Germany"
150,HotelCapri by Fraser Berlin,113,SCHARRENSTRASSE 22, Mitte," 10178 Berlin, Germany"
151,HotelHotel Comenius,79,Grünberger Str. 22, Friedrichshain-Kreuzberg," 10243 Berlin, Germany"
152,HotelExe Klee Berlin Excellence Class,86,Bundesallee 75, Tempelhof-Schöneberg," 12161 Berlin, Germany"
153,HotelBest Western Plus Plaza Berlin Kurfürstendamm,79,Kurfürstendamm 203, Charlottenburg-Wilmersdorf," 10719 Berlin, Germany"
154,Hotelthe niu Hide,92,Frankfurter Allee 113, Lichtenberg," 10365 Berlin, Germany"
155,HotelNH Berlin City Ost,85,Rathausstr. 2-3, Lichtenberg," 10367 Berlin, Germany"
157,HotelNovum Hotel Aldea Berlin Centrum,72,Bülowstr. 20-22, Tempelhof-Schöneberg," 10783 Berlin, Germany"
158,HotelHotel Zoo Berlin,170,Kurfürstendamm 25, Charlottenburg-Wilmersdorf," 10719 Berlin, Germany"
159,Hotelart'otel berlin mitte,92,Wallstr. 70-73, Mitte," 10179 Berlin, Germany"
