,hotel_name,area,price
0,2A Hostel,Neukölln,58
1,364.berlin,Berlin,84
2,AZIMUT Hotel City South Berlin,Neukölln,117
3,AZIMUT Hotel City South Berlin,Neukölln,117
4,Adapt Apartments Berlin,Berlin,130
5,Adapt Apartments Berlin,Berlin,130
6,Adele Designhotel,Pankow,190
7,Adele Designhotel,Pankow,144
8,Adina Apartment Hotel Berlin CheckPoint Charlie,Mitte,229
9,Adina Apartment Hotel Berlin Mitte,Mitte,197
10,Akademie Hotel Berlin,Pankow,100
11,Albergo City Hotel Berlin,Charlottenburg-Wilmersdorf,175
12,Albergo City Hotel Berlin,Charlottenburg-Wilmersdorf,175
13,All In Hostel / Hotel Berlin,Berlin,26
14,All In Hostel / Hotel Berlin,Berlin,30
15,Almodóvar Hotel Biohotel Berlin,Berlin,195
16,Amaya Motel,Neukölln,54
17,Amc Apartments Ku Damm,Charlottenburg-Wilmersdorf,293
18,Amstel House Hostel Berlin,Mitte,48
19,Angleterre Hotel,Berlin,227
20,Aparthotel-Christie,Berlin,311
21,Apartment with nice Chesterfield room,Lichtenberg,113
22,Apartments Rosenthal Residence,Mitte,131
23,Axel Hotel Berlin - Adults Only,Berlin,200
24,Axel Hotel Berlin - Adults Only,Berlin,198
25,BackpackerBerlin,Berlin,89
26,Ballhaus Berlin Hostel,Mitte,47
27,Bed'n'Work Apartment Friedrichshain,Berlin,119
28,Berlin Marriott Hotel,Mitte,478
29,Berlin Marriott Hotel,Mitte,508
30,Berlin Overnight,Pankow,62
31,Best Western Hotel City Ost,Berlin,167
32,Best Western Hotel am Spittelmarkt Berlin,Mitte,193
33,Bett & Buch Hotel,Berlin,81
34,Bett & Buch Hotel,Berlin,81
35,Bett & Buch Hotel,Berlin,81
36,Boutique Hotel Fährhaus,Spandau,150
37,CHECK IN HOTEL,Berlin,89
38,CHECK IN HOTEL,Berlin,85
39,COSMO Hotel Berlin Mitte,Mitte,232
40,Capri by Fraser Berlin,Mitte,239
41,Catalonia Berlin Mitte,Mitte,240
42,Catalonia Berlin Mitte,Mitte,240
43,City Guesthouse Pension Berlin,Pankow,125
44,City Guesthouse Pension Berlin,Pankow,125
45,City Hotel Berlin East,Lichtenberg,171
46,City landmark near Checkpoint Charlie,Berlin,434
47,Come Inn Berlin Kurfürstendamm,Charlottenburg-Wilmersdorf,318
48,Courtyard by Marriott Berlin City Center,Mitte,319
49,DAS SCHMÖCKWITZ,Schmöckwitzwerder,69
50,Design Hostel P182,Berlin,125
