"Field1","Field2","Field3"
"HotelCity Hotel am Gendarmenmarkt","Leipziger Str. 65, Mitte, 10117 Berlin, Germany","€ 107"
"HotelARCO Hotel","Geisbergstrasse 30, Tempelhof-Schöneberg, 10777 Berlin, Germany",
"HotelSchulz Hotel Berlin Wall at the East Side Gallery","Stralauer Platz 36, Friedrichshain-Kreuzberg, 10243 Berlin, Germany",
"HotelGuesthouse21","Martin-Luther-Strasse 21, Tempelhof-Schöneberg, 10777  Berlin, Germany",
"Hotelmk hotel berlin","Osloer Straße 100, Mitte, 13359 Berlin, Germany","€ 91"
"HotelBest Western Hotel am Spittelmarkt","Neue Grünstraße 28, Mitte, 10179 Berlin, Germany","€ 79"
"HotelHyperion Hotel Berlin","Prager Str. 12, Charlottenburg-Wilmersdorf, 10779 Berlin, Germany","€ 131"
"HotelMichelberger Hotel","Warschauer Str. 39-40, Friedrichshain-Kreuzberg, 10243 Berlin, Germany","€ 85"
"HotelAlbrechtshof","Albrechtstr. 8, Mitte, 10117 Berlin, Germany",
"HotelNH Berlin Potsdamer Platz","Stresemannstr. 47, Friedrichshain-Kreuzberg, 10963 Berlin, Germany","€ 100"
"HotelMotel One Berlin-Tiergarten","An der Urania 12/14, Tempelhof-Schöneberg, 10787 Berlin, Germany",
"HotelEnergieHotel Berlin City West","Wielandstrasse 7/8, Charlottenburg-Wilmersdorf, 10625 Berlin, Germany","€ 59"
"HotelNovotel Suites Berlin City Potsdamer Platz","Anhalter Str. 2, Friedrichshain-Kreuzberg, 10963 Berlin, Germany","€ 106"
"Hotelibis budget Berlin Kurfürstendamm","Bayreuther Strasse 41, Tempelhof-Schöneberg, 10787 Berlin, Germany","€ 87"
"Hotelibis Hotel Berlin Airport Tegel","Alt-Reinickendorf 4-5, Reinickendorf, 13407 Berlin, Germany","€ 62"
"HotelCentral-Hotel Tegel","Holzhauser Str. 2, Reinickendorf, 13509 Berlin, Germany",
"HotelGold Hotel","Weserstr. 24, Friedrichshain-Kreuzberg, 10247 Berlin, Germany","€ 110"
"HotelMövenpick Hotel Berlin Am Potsdamer Platz","Schöneberger Str. 3, Friedrichshain-Kreuzberg, 10963 Berlin, Germany",
"HotelMax Brown Hotel Ku'damm","Uhlandstraße 49, Charlottenburg-Wilmersdorf, 10719 Berlin, Germany",
"Hotel25hours Hotel Bikini Berlin","Budapester Str. 40, Charlottenburg-Wilmersdorf, 10787 Berlin, Germany","€ 178"
"HotelApart Hotel Ferdinand Berlin","Ferdinand-Schultze-Str. 92, Lichtenberg, 13055 Berlin, Germany","€ 65"
"HotelGrand Hyatt Berlin","Marlene-Dietrich-Platz 2, Mitte, 10785 Berlin, Germany","€ 169"
"HotelPotsdamer Inn","Potsdamerstr.145, Tempelhof-Schöneberg, 10783 Berlin, Germany","€ 68"
"HotelH10 Berlin Ku'damm","Joachimsthaler Str. 31-32, Charlottenburg-Wilmersdorf, 10719 Berlin, Germany","€ 95"
"HotelVictor's Residenz-Hotel Berlin","Am Friedrichshain 17, Prenzlauer Berg, 10407 Berlin, Germany",
"HotelHotel 38","Oranienburger Str. 38, Mitte, 10117 Berlin, Germany","€ 99"
"HotelHotel Transit Loft","Immanuelkirchstr. 14 A, Prenzlauer Berg, 10405 Berlin, Germany","€ 69"
